Mun;Cgr;coduf;sigla;nome_uf;nome_cgrs;nomemunic
110001;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Alta Floresta D'Oeste
110002;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Ariquemes
110003;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Cabixi
110004;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Cacoal
110005;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Cerejeiras
110006;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Colorado do Oeste
110007;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Corumbiara
110008;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Costa Marques
110009;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Espigão D'Oeste
110010;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Guajará-Mirim
110011;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Jaru
110012;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Ji-Paraná
110013;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Machadinho D'Oeste
110014;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Nova Brasilândia D'Oeste
110015;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Ouro Preto do Oeste
110018;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Pimenta Bueno
110020;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Porto Velho
110025;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Presidente Médici
110026;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Rio Crespo
110028;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Rolim de Moura
110029;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Santa Luzia D'Oeste
110030;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Vilhena
110032;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);São Miguel do Guaporé
110033;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Nova Mamoré
110034;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Alvorada D'Oeste
110037;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Alto Alegre dos Parecis
110040;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Alto Paraíso
110045;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Buritis
110050;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Novo Horizonte do Oeste
110060;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Cacaulândia
110070;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Campo Novo de Rondônia
110080;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Candeias do Jamari
110090;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Castanheiras
110092;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Chupinguaia
110094;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Cujubim
110100;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Governador Jorge Teixeira
110110;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Itapuã do Oeste
110120;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Ministro Andreazza
110130;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Mirante da Serra
110140;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Monte Negro
110143;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Nova União
110145;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Parecis
110146;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Pimenteiras do Oeste
110147;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Primavera de Rondônia
110148;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);São Felipe D'Oeste
110149;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);São Francisco do Guaporé
110150;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Seringueiras
110155;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Teixeirópolis
110160;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Theobroma
110170;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Urupá
110175;1102;11;RO;Rondônia;MACRORREGIAO I - PORTO VELHO;Vale do Anari
110180;1101;11;RO;Rondônia;MACRORREGIONAL II (CACOAL);Vale do Paraíso
120001;1201;12;AC;Acre;MACRO UNICA - AC;Acrelândia
120005;1201;12;AC;Acre;MACRO UNICA - AC;Assis Brasil
