Mun;Cgr;coduf;sigla;nome_uf;nome_cgrs;nomemunic
110002;110002;11;RO;Rondônia;VALE DO JAMARI;Ariquemes
110013;110013;11;RO;Rondônia;VALE DO JAMARI;Machadinho D'Oeste
110026;110026;11;RO;Rondônia;VALE DO JAMARI;Rio Crespo
110040;110040;11;RO;Rondônia;VALE DO JAMARI;Alto Paraíso
110045;110045;11;RO;Rondônia;VALE DO JAMARI;Buritis
110060;110060;11;RO;Rondônia;VALE DO JAMARI;Cacaulândia
110070;110070;11;RO;Rondônia;VALE DO JAMARI;Campo Novo de Rondônia
110094;110094;11;RO;Rondônia;VALE DO JAMARI;Cujubim
110140;110140;11;RO;Rondônia;VALE DO JAMARI;Monte Negro
110004;110004;11;RO;Rondônia;CAFE;Cacoal
110009;110009;11;RO;Rondônia;CAFE;Espigão D'Oeste
110018;110018;11;RO;Rondônia;CAFE;Pimenta Bueno
110120;110120;11;RO;Rondônia;CAFE;Ministro Andreazza
110147;110147;11;RO;Rondônia;CAFE;Primavera de Rondônia
110148;110148;11;RO;Rondônia;CAFE;São Felipe D'Oeste
110012;110012;11;RO;Rondônia;CENTRAL;Ji-Paraná
110015;110015;11;RO;Rondônia;CENTRAL;Ouro Preto do Oeste
110025;110025;11;RO;Rondônia;CENTRAL;Presidente Médici
110032;110032;11;RO;Rondônia;CENTRAL;São Miguel do Guaporé
110034;110034;11;RO;Rondônia;CENTRAL;Alvorada D'Oeste
110130;110130;11;RO;Rondônia;CENTRAL;Mirante da Serra
110143;110143;11;RO;Rondônia;CENTRAL;Nova União
110155;110155;11;RO;Rondônia;CENTRAL;Teixeirópolis
110170;110170;11;RO;Rondônia;CENTRAL;Urupá
110180;110180;11;RO;Rondônia;CENTRAL;Vale do Paraíso
110011;110011;11;RO;Rondônia;CENTRAL;Jaru
110100;110100;11;RO;Rondônia;CENTRAL;Governador Jorge Teixeira
110160;110160;11;RO;Rondônia;CENTRAL;Theobroma
110175;110175;11;RO;Rondônia;CENTRAL;Vale do Anari
110010;110010;11;RO;Rondônia;MADEIRA-MAMORE;Guajará-Mirim
110020;110020;11;RO;Rondônia;MADEIRA-MAMORE;Porto Velho
110033;110033;11;RO;Rondônia;MADEIRA-MAMORE;Nova Mamoré
110080;110080;11;RO;Rondônia;MADEIRA-MAMORE;Candeias do Jamari
110110;110110;11;RO;Rondônia;MADEIRA-MAMORE;Itapuã do Oeste
110001;110001;11;RO;Rondônia;ZONA DA MATA;Alta Floresta D'Oeste
110014;110014;11;RO;Rondônia;ZONA DA MATA;Nova Brasilândia D'Oeste
110028;110028;11;RO;Rondônia;ZONA DA MATA;Rolim de Moura
110029;110029;11;RO;Rondônia;ZONA DA MATA;Santa Luzia D'Oeste
110037;110037;11;RO;Rondônia;ZONA DA MATA;Alto Alegre dos Parecis
110050;110050;11;RO;Rondônia;ZONA DA MATA;Novo Horizonte do Oeste
110090;110090;11;RO;Rondônia;ZONA DA MATA;Castanheiras
110145;110145;11;RO;Rondônia;ZONA DA MATA;Parecis
110003;110003;11;RO;Rondônia;CONE SUL;Cabixi
110005;110005;11;RO;Rondônia;CONE SUL;Cerejeiras
110006;110006;11;RO;Rondônia;CONE SUL;Colorado do Oeste
110007;110007;11;RO;Rondônia;CONE SUL;Corumbiara
110030;110030;11;RO;Rondônia;CONE SUL;Vilhena
