Mun;Cgr;coduf;sigla;nome_uf;nome_cgrs;nomemunic
110002;11001;11;RO;Rondônia;VALE DO JAMARI;Ariquemes
110013;11001;11;RO;Rondônia;VALE DO JAMARI;Machadinho D'Oeste
110026;11001;11;RO;Rondônia;VALE DO JAMARI;Rio Crespo
110040;11001;11;RO;Rondônia;VALE DO JAMARI;Alto Paraíso
110045;11001;11;RO;Rondônia;VALE DO JAMARI;Buritis
110060;11001;11;RO;Rondônia;VALE DO JAMARI;Cacaulândia
110070;11001;11;RO;Rondônia;VALE DO JAMARI;Campo Novo de Rondônia
110094;11001;11;RO;Rondônia;VALE DO JAMARI;Cujubim
110140;11001;11;RO;Rondônia;VALE DO JAMARI;Monte Negro
110004;11002;11;RO;Rondônia;CAFE;Cacoal
110009;11002;11;RO;Rondônia;CAFE;Espigão D'Oeste
110018;11002;11;RO;Rondônia;CAFE;Pimenta Bueno
110120;11002;11;RO;Rondônia;CAFE;Ministro Andreazza
110147;11002;11;RO;Rondônia;CAFE;Primavera de Rondônia
110148;11002;11;RO;Rondônia;CAFE;São Felipe D'Oeste
110012;11003;11;RO;Rondônia;CENTRAL;Ji-Paraná
110015;11003;11;RO;Rondônia;CENTRAL;Ouro Preto do Oeste
110025;11003;11;RO;Rondônia;CENTRAL;Presidente Médici
110032;11003;11;RO;Rondônia;CENTRAL;São Miguel do Guaporé
110034;11003;11;RO;Rondônia;CENTRAL;Alvorada D'Oeste
110130;11003;11;RO;Rondônia;CENTRAL;Mirante da Serra
110143;11003;11;RO;Rondônia;CENTRAL;Nova União
110155;11003;11;RO;Rondônia;CENTRAL;Teixeirópolis
110170;11003;11;RO;Rondônia;CENTRAL;Urupá
110180;11003;11;RO;Rondônia;CENTRAL;Vale do Paraíso
110011;11003;11;RO;Rondônia;CENTRAL;Jaru
110100;11003;11;RO;Rondônia;CENTRAL;Governador Jorge Teixeira
110160;11003;11;RO;Rondônia;CENTRAL;Theobroma
110175;11003;11;RO;Rondônia;CENTRAL;Vale do Anari
110010;11004;11;RO;Rondônia;MADEIRA-MAMORE;Guajará-Mirim
110020;11004;11;RO;Rondônia;MADEIRA-MAMORE;Porto Velho
110033;11004;11;RO;Rondônia;MADEIRA-MAMORE;Nova Mamoré
110080;11004;11;RO;Rondônia;MADEIRA-MAMORE;Candeias do Jamari
110110;11004;11;RO;Rondônia;MADEIRA-MAMORE;Itapuã do Oeste
110001;11005;11;RO;Rondônia;ZONA DA MATA;Alta Floresta D'Oeste
110014;11005;11;RO;Rondônia;ZONA DA MATA;Nova Brasilândia D'Oeste
110028;11005;11;RO;Rondônia;ZONA DA MATA;Rolim de Moura
110029;11005;11;RO;Rondônia;ZONA DA MATA;Santa Luzia D'Oeste
110037;11005;11;RO;Rondônia;ZONA DA MATA;Alto Alegre dos Parecis
110050;11005;11;RO;Rondônia;ZONA DA MATA;Novo Horizonte do Oeste
110090;11005;11;RO;Rondônia;ZONA DA MATA;Castanheiras
110145;11005;11;RO;Rondônia;ZONA DA MATA;Parecis
110003;11006;11;RO;Rondônia;CONE SUL;Cabixi
