"id";"Nome";"IdadeI";"IdadeF";"Faixa"
1;"Todas as idades";0;150;"c(""000-014"",""015-024"",""025-034"",""035-044"",""045-054"", ""055-064"", ""065-150"")"
2;"15 anos ou mais";15;150;"c(""015-024"",""025-034"",""035-044"",""045-054"", ""055-064"", ""065-150"")"
3;"18 anos ou mais";18;150;"c(""018-024"",""025-034"",""035-044"",""045-054"", ""055-064"", ""065-150"")"
4;"20 anos ou mais";20;150;"c(""020-024"",""025-034"",""035-044"",""045-054"", ""055-064"", ""065-150"")"
5;"40 anos ou mais";40;150;"c(""040-044"",""045-054"", ""055-064"", ""065-150"")"
6;"60 anos ou mais";60;150;"c(""060-069"",""070-079"", ""080-150"")"
7;"65 anos ou mais";65;150;"c( ""065-069"", ""070-079"",""080-150"")"
8;"30 a 79 anos";30;79;"c(""030-039"",""040-049"",""050-059"", ""060-069"", ""070-079"")"
9;"50 a 69 anos";50;69;"c(""050-054"",""055-059"",""060-064"",""065-069"")"
10;"50 a 64 anos";50;64;"c(""050-054"", ""055-059"", ""060-064"")"
11;"20 a 79 anos";20;79;"c(""020-029"",""030-039"",""040-049"",""050-059"", ""060-069"", ""070-079"")"
12;"70 anos ou mais";70;150;"c( ""070-079"",""080-150"")"
13;"45 anos ou mais";45;150;"c(""045-054"", ""055-064"", ""065-150"")"
14;"30 a 69 anos";30;69;"c(""030-039"",""040-049"",""050-059"", ""060-069"")"
15;"30 a 49 anos";30;49;"c(""030-034"",""035-039"",""040-044"", ""045-049"")"
